#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
1243,0.4143,70519
1244,0.4147,70553
1245,0.4150,70465
1246,0.4153,70565
1247,0.4157,70742
1248,0.4160,70645
1249,0.4163,70586
1250,0.4167,70356
1251,0.4170,70421
1252,0.4173,70656
1253,0.4177,70616
1254,0.4180,70681
1255,0.4183,70501
1256,0.4187,70734
1257,0.4190,70594
1258,0.4193,70619
1259,0.4197,70434
1260,0.4200,70566
1261,0.4203,70696
1262,0.4207,70664
1263,0.4210,70662
1264,0.4213,70489
1265,0.4217,70523
1266,0.4220,70597
1267,0.4223,70547
1268,0.4227,70549
1269,0.4230,70493
1270,0.4233,70692
1271,0.4237,70656
1272,0.4240,70595
1273,0.4243,70492
1274,0.4247,70507
1275,0.4250,70644
1276,0.4253,70470
1277,0.4257,70505
1278,0.4260,70340
1279,0.4263,70603
1280,0.4267,70463
1281,0.4270,70480
1282,0.4273,70334
1283,0.4277,70445
1284,0.4280,70585
1285,0.4283,70561
1286,0.4287,70592
1287,0.4290,70462
1288,0.4293,70522
1289,0.4297,70708
1290,0.4300,70685
1291,0.4303,70717
1292,0.4307,70593
1293,0.4310,70751
1294,0.4313,70680
1295,0.4317,70616
1296,0.4320,70424
1297,0.4323,70451
1298,0.4327,70592
1299,0.4330,70548
1300,0.4333,70536
1301,0.4337,70383
1302,0.4340,70522
1303,0.4343,70694
1304,0.4347,70677
1305,0.4350,70664
1306,0.4353,70497
1307,0.4357,70691
1308,0.4360,70602
1309,0.4363,70608
1310,0.4367,70463
1311,0.4370,70569
1312,0.4373,70691
1313,0.4377,70594
1314,0.4380,70568
1315,0.4383,70504
1316,0.4387,70615
1317,0.4390,70779
1318,0.4393,70651
1319,0.4397,70655
1320,0.4400,70489
1321,0.4403,70599
1322,0.4407,70736
1323,0.4410,70645
1324,0.4413,70547
1325,0.4417,70331
